id,cantidad_postes ,latitud,longitud,tipo_lampara,sector_id,descripcion,luminarias_por_poste,capacidad,,,,,,,,,
,1,20.73648403,-86.99258017,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73732351,-86.99057357,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73706694,-86.9912012,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73786059,-86.98930334,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73759041,-86.98993735,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73840427,-86.98802552,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73813696,-86.98866446,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73911748,-86.98674752,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73872792,-86.98738151,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.73952066,-86.98621288,LED ,4,No regularizado,2,120,,,,,,,,,
,1,20.7309033,-87.0041464,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7312917,-87.00368,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7245617,-87.0091433,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.72514803774693,-87.00877033677195,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.725586417059212,-87.00840912340233,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.726015,-87.0080124,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7265202,-87.0076546,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7318034,-87.0029752,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7321298,-87.0024953,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7325613,-87.0016635,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7327751,-87.0011556,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7330534,-87.0004644,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7333467,-86.9997667,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7335283,-86.9993506,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7337315,-86.998809,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7223367,-87.01085,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.723425,-87.0099833,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7239084,-87.0096114,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7271334,-87.0071652,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7277459,-87.0066102,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7281917,-87.0063258,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7286726,-87.0059831,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7292187,-87.0055661,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7298945,-87.0050313,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.7303202,-87.0046824,LED ,5,10-Post (Calle),2,180,,,,,,,,,
,1,20.71902,-87.0133433,LED ,6,10-Post (Calle),2,120,,,,,,,,,
,1,20.7200533,-87.0126083,LED ,6,10-Post (Calle),2,120,,,,,,,,,
,1,20.719893432741262,-87.01288975749549,LED ,6,10-Post (Calle),2,120,,,,,,,,,
,1,20.7201932,-87.0124984,LED ,6,10-Post (Calle),2,120,,,,,,,,,
,1,20.7205083,-87.0122517,LED ,6,10-Post (Calle),1,120,,,,,,,,,
,1,20.72040822415148,-87.01252346630474,LED ,6,10-Post (Calle),1,120,,,,,,,,,
,1,20.720715,-87.012115,LED ,6,10-Post (Calle),2,120,,,,,,,,,
,1,20.7150737,-87.0164418,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
,1,20.7157969,-87.0158493,LED ,7,5-Post  (Camellón),2,400,,,,,,,,,
